rank,city,country,score
1,Utrecht,Netherlands,71.1
2,Copenhagen,Denmark,70.8
3,Ghent,Belgium,67.6
4,Amsterdam,Netherlands,66.6
5,Paris,France,65.0
6,Helsinki,Finland,64.9
7,Münster,Germany,64.7
8,Antwerp,Belgium,64.4
9,Bordeaux,France,62.9
10,Nantes,France,62.8
11,Bonn,Germany,61.4
12,The Hague,Netherlands,61.0
13,Strasbourg,France,60.3
14,Lyon,France,58.9
15,Montréal,Canada,58.3
16,Malmö,Sweden,57.7
17,Munich,Germany,57.6
18,Oslo,Norway,57.2
19,Vienna,Austria,56.7
20,Bern,Switzerland,56.4
21,Graz,Austria,55.8
22,Zurich,Switzerland,55.7
23,Rotterdam,Netherlands,55.1
24,Ljubljana,Slovenia,54.6
25,Bologna,Italy,54.4
26,Stockholm,Sweden,53.4
27,Vitoria-Gasteiz,Spain,52.2
28,Wroclaw,Poland,51.3
29,Québec,Canada,51.1
30,Vancouver,Canada,50.3
