rank,city,country,score,altitude_index,distance_index,distance_to_optimal
1,Utrecht,Netherlands,71.1,1.653,1.061,0.06099999999999994
2,Copenhagen,Denmark,68.9,2.212,1.018,0.018000000000000016
3,Ghent,Belgium,68.3,1.778,1.078,0.07800000000000007
4,Amsterdam,Netherlands,67.8,1.751,1.056,0.05600000000000005
5,Paris,France,67.6,5.103,1.026,0.026000000000000023
13,Strasbourg,France,61.1,4.175,1.076,0.07600000000000007
14,Lyon,France,61.1,5.509,1.056,0.05600000000000005
15,Montréal,Canada,60.0,4.09,1.075,0.07499999999999996
16,Malmö,Sweden,59.4,2.603,1.066,0.06600000000000006
17,Munich,Germany,58.9,3.661,1.044,0.04400000000000004
26,Stockholm,Sweden,53.9,4.743,1.077,0.07699999999999996
27,Vitoria-Gasteiz,Spain,53.3,4.381,1.077,0.07699999999999996
28,Wroclaw,Poland,52.8,4.044,1.064,0.06400000000000006
