rank,city,country,score,altitude_index,distance_index,distance_from_optimal
1,Utrecht,Netherlands,71.1,2.4043570765056166,1.0882712470759028,0.08827124707590284
2,Copenhagen,Denmark,70.8,2.098867849414408,1.0447168879665576,0.044716887966557595
3,Ghent,Belgium,67.6,2.6198442690503465,1.1934247332595274,0.19342473325952736
4,Amsterdam,Netherlands,66.6,3.097514928204013,1.0761975924478788,0.07619759244787883
5,Paris,France,65.0,2.282923312638332,1.033769629866471,0.03376962986647092
13,Strasbourg,France,60.3,2.4709315215254097,1.3450648768921556,0.3450648768921556
14,Lyon,France,58.9,3.433606407753696,1.1829223699513465,0.18292236995134648
15,Montréal,Canada,58.3,3.0517173645764544,1.2152528204687922,0.21525282046879224
16,Malmö,Sweden,57.7,2.4572628070325235,1.0690251813786544,0.06902518137865443
17,Munich,Germany,57.6,2.9672800217929822,1.1575617275474817,0.15756172754748166
26,Stockholm,Sweden,53.4,2.6322911535937688,1.2440922589709866,0.24409225897098663
27,Vitoria-Gasteiz,Spain,52.2,2.6791351232148717,1.1239006422577695,0.12390064225776953
28,Wroclaw,Poland,51.3,3.068981135783017,1.2810698018345672,0.2810698018345672
29,Québec,Canada,51.1,1.999359877671101,1.1844361310081195,0.1844361310081195
30,Vancouver,Canada,50.3,2.1255410837434834,1.2193306250206724,0.21933062502067235
